lon,lat,path,user_id,typology_id,segment_id,route_id
13.3647038,38.1145815,1,20,2,158,149
13.3645511,38.1145506,2,20,2,158,149
13.3644268,38.1145599,3,20,2,158,149
13.3642877,38.114544,4,20,2,158,149
13.3641679,38.1145215,5,20,2,158,149
13.3638629,38.1144594,6,20,2,158,149
13.3637744,38.1143815,7,20,2,158,149
13.3635595,38.1143364,8,20,2,158,149
13.3633793,38.1143488,9,20,2,158,149
13.362091,38.1146504,10,20,2,158,149
13.3621694,38.1145418,11,20,2,158,149
13.3624066,38.1145537,12,20,2,158,149
13.3623521,38.1145166,13,20,2,158,149
13.3622463,38.1145502,14,20,2,158,149
13.3618529,38.1152502,15,20,2,158,149
13.3620279,38.1148356,16,20,2,158,149
13.361794,38.1154975,17,20,2,158,149
13.3618419,38.1153269,18,20,2,158,149
13.3616596,38.1156162,19,20,2,158,149
13.3616827,38.1155601,20,20,2,158,149
13.3616355,38.1155849,21,20,2,158,149
13.3610577,38.116428,22,20,2,158,149
13.3610199,38.1164782,23,20,2,158,149
13.3609538,38.1165447,24,20,2,158,149
13.3608496,38.1167186,25,20,2,158,149
13.3607947,38.1167492,26,20,2,158,149
13.3607088,38.1168546,27,20,2,158,149
13.3606944,38.1168711,28,20,2,158,149
13.3604051,38.1173248,29,20,2,158,149
13.3604094,38.1173741,30,20,2,158,149
13.3603112,38.1176206,31,20,2,158,149
13.3602754,38.1177067,32,20,2,158,149
13.3601218,38.1178482,33,20,2,158,149
13.359634,38.1185431,34,20,2,158,149
13.3596109,38.1185779,35,20,2,158,149
13.3595376,38.1186905,36,20,2,158,149
13.3594701,38.1188056,37,20,2,158,149
13.3592882,38.1190813,38,20,2,158,149
13.359298,38.1190837,39,20,2,158,149
13.3589241,38.119584,40,20,2,158,149
13.3589021,38.1195975,41,20,2,158,149
13.3588492,38.1197021,42,20,2,158,149
13.3587716,38.1198543,43,20,2,158,149
13.3586698,38.1200175,44,20,2,158,149
13.3585707,38.1202061,45,20,2,158,149
13.3584758,38.1203067,46,20,2,158,149
13.358202,38.1204387,47,20,2,158,149
13.3581422,38.1204645,48,20,2,158,149
13.3579823,38.1206037,49,20,2,158,149
13.3579436,38.1206708,50,20,2,158,149
13.3579074,38.1207548,51,20,2,158,149
13.3578676,38.1208695,52,20,2,158,149
13.3578207,38.1210502,53,20,2,158,149
13.3578176,38.1211536,54,20,2,158,149
13.3578043,38.1212293,55,20,2,158,149
13.3575661,38.1215058,56,20,2,158,149
13.3575256,38.1217966,57,20,2,158,149
13.3574392,38.1219473,58,20,2,158,149
13.3573697,38.1220527,59,20,2,158,149
13.3573276,38.1221232,60,20,2,158,149
13.3572726,38.1221598,61,20,2,158,149
13.3565525,38.122787,62,20,2,158,149
13.3565269,38.1228278,63,20,2,158,149
13.3564175,38.1229111,64,20,2,158,149
13.3562548,38.1229546,65,20,2,158,149
13.3560044,38.1230339,66,20,2,158,149
13.3558786,38.123097,67,20,2,158,149
13.3557237,38.1231739,68,20,2,158,149
13.3554637,38.1232964,69,20,2,158,149
13.3552529,38.1234238,70,20,2,158,149
13.3550572,38.1235479,71,20,2,158,149
13.3550483,38.1235531,72,20,2,158,149
13.3550363,38.1235772,73,20,2,158,149
13.355003,38.1236171,74,20,2,158,149
13.355003,38.1236171,75,20,2,158,149
13.3550157,38.1236248,76,20,2,158,149
13.3549979,38.123622,77,20,2,158,149
13.3549387,38.1236557,78,20,2,158,149
13.3550332,38.1235693,79,20,2,158,149
